case_id,disposition_actual,prevailing_party,justification,judge,parse_error,error,ts
cl_2026_ca2_united_states_v_greebel,reversed_and_remanded,"Evan Greebel (and the Government, jointly)","The court ""REVERSE[D] the April 10, 2025 order of the district court, and remand[ed] with instructions to approve the parties' proposed stipulated orders of garnishment.""",anthropic/claude-opus-5,,,2026-08-25T10:00:06
cl_2026_ca3_lawanda_house_johnson_v_quest_diagnostics_inc,affirmed,Quest Diagnostics (appellees),"The court concluded that ""Because ERISA mandates prudence, not perfection, we will AFFIRM"" the District Court's summary judgment for Quest on all three counts.",anthropic/claude-opus-5,,,2026-08-25T10:00:06
cl_2026_ca3_in_re_avandia_marketing_v,vacated_and_remanded,GlaxoSmithKline LLC (appellant),"The court ""vacate[d] the District Court's certification of the class and remand[ed] for proceedings consistent with this opinion,"" while affirming only the ascertainability finding within the same vacated certification order.",anthropic/claude-opus-5,,,2026-08-25T10:00:06
cl_2026_ca3_mark_justman_v_accenture_llp,affirmed,Accenture LLP (appellee),"The court stated it would ""affirm the District Court's orders denying leave to file a Second Amended Complaint, denying reconsideration, and dismissing with prejudice.""",anthropic/claude-opus-5,,,2026-08-25T10:00:06
cl_2026_ca3_whittaker_clark_daniels_v,affirmed,"Debtors (Whittaker, Clark & Daniels et al.)","The court concluded Whittaker properly entered bankruptcy and the Product-Line Claims are estate property, stating 'we affirm the judgments of the District and Bankruptcy Courts.'",anthropic/claude-opus-5,,,2026-08-25T10:00:08
cl_2026_ca4_dmarcian_inc_v_dmarc_advisor_bv,affirmed_and_reversed,"dmarcian, Inc. (plaintiff-appellee)","The court stated: ""The second amended preliminary injunction is hereby affirmed and the remainder of dBV's appeal is dismissed"" — a mixed disposition affirming in part and dismissing in part, with the affirmance being the substantive ruling in appellee's favor.",anthropic/claude-opus-5,,,2026-08-25T10:00:09
cl_2026_ca4_elshan_bayramov_v_american_credit_acceptance,affirmed,"Defendants-Appellees (American Credit Acceptance, Peritus, et al.)","The court concluded the complaints failed to allege direct claims and stated ""The judgments are AFFIRMED,"" while also denying leave to amend.",anthropic/claude-opus-5,,,2026-08-25T10:00:09
cl_2026_ca4_elshan_bayramov_v_peritus_portfolio_services,affirmed,"Defendants-Appellees (American Credit Acceptance, Peritus, et al.)","The court concluded the complaints failed to allege direct claims and stated ""The judgments are AFFIRMED,"" also denying leave to amend.",anthropic/claude-opus-5,,,2026-08-25T10:00:10
cl_2026_ca4_in_re_the_boeing_company,reversed_and_remanded,The Boeing Company and individual defendants (appellants),"The court held ""the district court's class-certification order is reversed, and the case is remanded for further proceedings consistent with this opinion.""",anthropic/claude-opus-5,,,2026-08-25T10:00:10
cl_2026_ca4_richard_kelly_v_altria_client_services_llc,affirmed_and_reversed,mixed — defendants prevailed on most claims; Kelly prevailed on the § 1024(b)(4) document-disclosure claim,"The court affirmed the district court in all respects except the § 1024(b)(4) statutory penalty claim, which it reversed and remanded: 'No. 25-1350 AFFIRMED IN PART, REVERSED IN PART, AND REMANDED; No. 25-2080 AFFIRMED.'",anthropic/claude-opus-5,,,2026-08-25T10:00:11
cl_2026_ca4_vapor_technology_association_v_mckinley_wooten,affirmed,North Carolina officials (Appellees),The panel affirmed the district court's denial of Appellants' motion for a preliminary injunction: 'we affirm the district court's denial of Appellants' motion for a preliminary injunction. AFFIRMED.',anthropic/claude-opus-5,,,2026-08-25T10:00:13
cl_2026_ca5_texas_tobacco_barn_v_hhs,other,petitioner Texas Tobacco Barn,"The court stated: ""The petition is GRANTED and the agency's decision is VACATED"" — granting the relief sought without remand.",anthropic/claude-opus-5,,,2026-08-25T10:00:13
cl_2026_ca5_united_states_v_kuyoro,reversed_and_remanded,United States (Government),"The court ""REVERSE[d] the order of the district court dismissing the indictment and REMAND[ed] the case with instructions to reinstate the indictment.""",anthropic/claude-opus-5,,,2026-08-25T10:00:13
cl_2026_ca5_kipp_flores_v_amh_creekside,affirmed_and_reversed,"mixed; Kipp Flores Architects prevailed on copyright infringement claims, defendants on DMCA claims","The court ""AFFIRM[ed] the dismissal of KFA's DMCA claims"" but ""VACATE[d] the dismissal of KFA's copyright infringement claims and REMAND[ed] for further proceedings.""",anthropic/claude-opus-5,,,2026-08-25T10:00:14
cl_2026_ca5_natl_horsemen_s_benevolent_v_black,affirmed_and_reversed,"mixed; Horsemen prevailed on enforcement nondelegation claim, defendants on remaining claims","The court stated ""the district court's judgment is AFFIRMED in part and REVERSED in part,"" affirming on rulemaking, due process, Appointments Clause, and standing, but reversing and declaring HISA's enforcement provisions violate the private nondelegation doctrine.",anthropic/claude-opus-5,,,2026-08-25T10:00:14
cl_2026_ca6_amanda_martin_v_fed_rsrv_bank_of_cleveland,affirmed,"defendants (Federal Reserve Bank of Cleveland, Matrix, and the Plan)","The court concluded, ""For the foregoing reasons, we affirm the district court,"" upholding both the judgment on the administrative record and the discovery orders.",anthropic/claude-opus-5,,,2026-08-25T10:00:15
cl_2026_ca7_frank_william_bonan_ii_v_fdic,denied,Federal Deposit Insurance Corporation,"The court concluded: ""For these reasons, we DENY the petition for review,"" rejecting Bonan's Seventh Amendment, removal, due process, and evidentiary challenges.",anthropic/claude-opus-5,,,2026-08-25T10:00:18
cl_2026_ca7_bruce_rush_v_greatbanc_trust_company,affirmed,Defendants-Appellees (GreatBanc Trust Company and Segerdahl directors),The court found no clear error in the district court's post-bench-trial judgment for Defendants on all claims and concluded with 'AFFIRMED.',anthropic/claude-opus-5,,,2026-08-25T10:00:18
cl_2026_ca6_opers_v_fhlmc,affirmed_and_reversed,"OPERS (plaintiff-appellant), largely","The court stated ""we REVERSE IN PART, VACATE IN PART, and REMAND for further proceedings,"" reversing the market-efficiency and § 20(a) rulings while vacating class certification and expert-exclusion rulings and affirming (as no abuse of discretion) the damages-measurement holding.",anthropic/claude-opus-5,,,2026-08-25T10:00:18
cl_2026_ca7_sandra_hunter_v_elanco_animal_health_incorpora,affirmed,Elanco Animal Health Inc. and its officers/directors (defendants-appellees),The court concluded plaintiffs failed to meet the heightened pleading standards and stated: 'we AFFIRM the district court's judgment in all respects.',anthropic/claude-opus-5,,,2026-08-25T10:00:18
cl_2026_ca7_halil_demir_v_markwayne_mullin,affirmed_and_reversed,split — Demir prevailed on watchlist claims; government on DHS TRIP claim,The court 'REVERSE[d] IN PART the judgment of the district court and REMAND[ed]' the watchlist claims while 'AFFIRM[ing] the district court's dismissal of Demir's procedural challenges to the DHS TRIP program.',anthropic/claude-opus-5,,,2026-08-25T10:00:19
cl_2026_ca6_eric_smith_v_sec,denied,SEC and FINRA (respondent/intervenor),"The court concluded, ""We deny Smith's petition for review,"" rejecting his statutory jurisdictional argument and finding his constitutional claims unexhausted.",anthropic/claude-opus-5,,,2026-08-25T10:00:20
cl_2026_ca8_everest_stables_inc_v_porter_wright_llp,affirmed,Porter Wright and Cathey (defendants-appellees),"The court concluded, ""We affirm the judgment of the district court.""",anthropic/claude-opus-5,,,2026-08-25T10:00:22
cl_2026_ca7_united_states_v_michael_mcclain,vacated_and_remanded,defendants-appellants Pramaggiore and McClain,"The court vacated the conspiracy and FCPA convictions as infected by legally invalid theories and remanded, allowing retrial: ""VACATED AND REMANDED.""",anthropic/claude-opus-5,,,2026-08-25T10:00:22
cl_2026_ca7_united_states_v_anne_pramaggiore,vacated_and_remanded,Pramaggiore and McClain (defendants-appellants),"The court held the pre-Snyder invalid conspiracy objects and Pinkerton theory created non-harmless legal error, so it vacated the conspiracy and FCPA convictions and remanded, allowing possible retrial while denying acquittal.",anthropic/claude-opus-5,,,2026-08-25T10:00:22
cl_2026_ca8_thomas_matula_jr_v_wells_fargo_company,affirmed_and_reversed,"Wells Fargo (largely), but Matula obtains dismissal without prejudice",The court affirmed dismissal for lack of Article III standing but held the district court abused its discretion in dismissing with prejudice and remanded for entry of dismissal without prejudice.,anthropic/claude-opus-5,,,2026-08-25T10:00:23
cl_2026_ca8_united_healthcare_services_inc_v_amerisourcebe,affirmed,AmerisourceBergen defendants (appellees),"The court concluded ""we affirm the judgment of the district court,"" upholding dismissal of all claims as time-barred.",anthropic/claude-opus-5,,,2026-08-25T10:00:23
cl_2026_ca9_crain_walnut_shelling_lp_v_united_states_distr,denied,Universal (real party in interest) / respondent district court,"The court concluded ""We therefore deny the petition for writ of mandamus"" and stated ""WRIT DENIED.""",anthropic/claude-opus-5,,,2026-08-25T10:00:24
cl_2026_ca9_in_re_koi_design_llc_v_marron_lawyers_apc,reversed_and_remanded,Koi Design LLC (plaintiff-appellant),"The panel held the district court erred in granting summary judgment for Marron and concluded: ""REVERSED and REMANDED.""",anthropic/claude-opus-5,,,2026-08-25T10:00:26
cl_2026_ca9_pover_v_the_capital_group_companies_inc,affirmed,Cathy Pover (plaintiff-appellee),"The panel affirmed the district court's denial of defendants' motion to compel arbitration, holding the representative-action waiver unenforceable ('AFFIRMED').",anthropic/claude-opus-5,,,2026-08-25T10:00:26
cl_2026_ca9_phillips_v_goldman,reversed_and_remanded,Phillips (plaintiffs-appellants),"The en banc court ""reverse[d] the district court's decision upholding immunity and remand[ed] for the bankruptcy court to consider Goldman's remaining arguments for dismissal,"" concluding ""REVERSED and REMANDED.""",anthropic/claude-opus-5,,,2026-08-25T10:00:26
cl_2026_ca9_turrey_v_vervent_inc,affirmed,Plaintiffs (student borrowers),"The panel held ""the judgment of the district court is affirmed. AFFIRMED.""",anthropic/claude-opus-5,,,2026-08-25T10:00:26
cl_2026_ca9_united_states_v_kheyre,affirmed,United States (government),The panel concluded the district court properly found Kheyre ineligible for a sentence reduction and stated 'AFFIRMED.',anthropic/claude-opus-5,,,2026-08-25T10:00:27
cl_2026_ca9_united_states_v_ridley_thomas,affirmed,United States (government),"The panel affirmed all convictions, concluding with ""AFFIRMED.""",anthropic/claude-opus-5,,,2026-08-25T10:00:27
cl_2026_cadc_john_doe_v_sec_public_reissued_opinion,affirmed_and_reversed,mixed; Doe prevailed on exemption issue,"The court ""denies the petition in part and grants the petition in part, vacating the denial of Doe's request for exemptions and remanding the request to the Commission for reconsideration.""",anthropic/claude-opus-5,,,2026-08-25T10:00:29
cl_2026_cadc_fairholme_funds_inc_v_fhfa,affirmed,plaintiff shareholders (judgment upheld),"The court concluded: ""For the foregoing reasons, the judgment of the district court is Affirmed,"" rejecting both the FHFA's appeal and the Berkley Plaintiffs' cross-appeal.",anthropic/claude-opus-5,,,2026-08-25T10:00:30
cl_2026_cadc_j_sidak_v_united_states_international_trade_co,affirmed,Sidak (appellee),"The court stated ""For these reasons, we affirm the judgment of the district court,"" upholding the injunction against the ITC.",anthropic/claude-opus-5,,,2026-08-25T10:00:30
cl_2026_cadc_democracy_partners_llc_v_james_o_keefe,reversed,O'Keefe and Maass (defendants/appellants),"The court reversed the district court's denial of judgment as a matter of law without remanding, stating ""the judgment of the district court is reversed.""",anthropic/claude-opus-5,,,2026-08-25T10:00:30
cl_2026_cafc_jacobson_v_united_states,affirmed,United States,"The Federal Circuit affirmed the Court of Federal Claims' dismissal of Ms. Jacobson's complaint for lack of subject-matter jurisdiction, with costs against her.",anthropic/claude-opus-5,,,2026-08-25T10:00:31
cl_2026_cadc_thrivent_financial_for_lutherans_v_sec,remanded,"Thrivent (petitioners), partially","The court ""grant[ed] Thrivent's petition for review in part and remand[ed] to the Commission for reconsideration,"" while otherwise denying the petition, without vacating the agency's order.",anthropic/claude-opus-5,,,2026-08-25T10:00:31
